,address,postal_code,rest_name,average_cost,additional_info,rating,rating_category,review,review_date_time,user_name
14,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Meal of the year.. From apps to dessert everything was phenominal, wait staff very well educated in the ingredients as well as purveyors. 5 stars all the way.",26-Aug-12,AngryCitrus
15,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Why Come Here? Dinner with the parents, suitable for foodie and non-foodie alike ...
Read full post on dishelinguide.com",14-Jun-12,The Dishelin Guide
16,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Union Square Cafe is elegant, but completely comfortable. The main dining rooms feels like it belongs in someone?s home. Service was equally warm and friendly. The dishes are creative but not fussy. I was wowed by the thought that went into some of the dishes, resulting in magnificent combinations of flavors and textures (the same reaction I get to many of the dishes at one of my favorite Boston area restaurants, Oleana). After my first visit, it?s easy to see why Union Square Cafe has been a neighborhood mainstay for over 25 years. ...
Read full post on freefoodboston.wordpress.com",18-Apr-12,FreeFoodBoston
17,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"The trout was standard (although it did not taste as fresh as anything I?ve ever eaten at Maialino) and the tuna burger was so terrible that I told Ken to not even bother finishing it. The burger was tuna meat that was chopped up, put back together, and grilled. The fish didn?t taste fresh at all and the side of coleslaw was absolutely?THE WORST. We also weren?t really impressed with their service (so slow it was like pulling teeth to get service). Not expected at all for a Danny Meyer restaurant and a very disappointing experience overall. It was nothing like what I had experienced during my previous visits and I hope it was a one time error on their part. ...
Read full post on gracenotesnyc.com",28-Mar-12,Grace Yang
18,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Opened in 1985, Danny Meyer's first restaurant retains high expectations in a city that has seen him expand his empire to include venues such as Gramercy Tavern, Maialino, The Modern, and the newly opened North End Grill. Earning Zagat's #1 ranking as New York's Most Popular Restaurant for eight years, there is no doubt that Union Square Cafe has garnered a special place in this City's culinary world. ...
Read full post on eatthecityny.com",22-Feb-12,Eat The City
19,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"I don't often order chicken, but when I know it is going to be really well prepared, sometimes it really hits the spot. Also, today's menu with the root vegetables and flavored mashed potatoes just really hooked me. I was NOT disappointed. I was really good and saved half of it to take home to enjoy for lunch the next day, but full disclosure? I ate it as soon as I got home- it was just that good. ...
Read full post on newbiefoodies.com",22-Jan-12,Newbie Foodies
21,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Lovely lunch. Lunched here on holiday from Australia & had a brilliant time. Terrific food, excellent portion sizes & great value. Service was very friendly & efficient. Will be back!",19-Sep-11,Scarlett
22,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"...Grilled trout with green bean salad, crispy salt-baked potatoes, and seasoning pepper vinaigrette. The trout had the slightly charred taste that I love, and the vinaigrette was a wonderful complement to the fish, as it brought out an additional light citrus flavor that was simple but refreshing. ...
Read full post on laurenlovestoeat.com",27-Jul-11,Lauren
23,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Well priced, well fed and EXTREMELY well served, we left feeling as if we had REALLY had an experience, with people who loved to cook and eat as much as we do. ...
Read full post on fritosandfoiegras.com",20-Apr-11,Fritosandfoiegras
24,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Great food, atomsphere, and service. Recommended.",8-Apr-11,Jack Morris
25,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   One, well, 2 1/2 words: Good and consistent. Great meeting place, centrally located, of many restaurants of this ilk that have come and gone and remain, consistently good is quite an accomplishment. Across from park and ""farmer's market"" in good weather. Lunch, dinner, or other - Recommend for pre Knicks game dinner and quick cab ride!!",25-Feb-11,Jtc9826
26,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"In today's economy fraught with economic uncertainties, most new restaurants are lucky to survive their first year, let alone two. Then again, Union Square Café hardly qualifies as an ordinary restaurant. Twenty five years ago, Danny Meyer opened this res ...
Read full post on lawandfood.blogspot.com",21-Oct-10,ChiefHDB
27,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Union Square Café is a NYC institution, a place where locals and tourists alike come for a delicious meal and to be treated the way Danny Meyer intended you to be treated when he opened the doors in 1985. ...
Read full post on carnivoreandvegetarian.com",14-Oct-10,Evan H
29,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"My father is turning the ripe age of 55 today so for his birthday I offered to take him to NYC for the day. He hasn't been to NYC since before I was born so I felt like it was my duty to show him the best the city had to offer. Alright, that's not entirel ...
Read full post on microcosmk.blogspot.com",11-Oct-10,Mr. Micro
30,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Had a business lunch here recently. Very pretty interior. Not a loud or noisy crowd. Service staff very attentive if a bit too intrusive - I don't need to be asked four times in 45 minutes if everything is okay. Food was good but a bit pricey for lunch. I don't feel the place has been around long enough to be called a classic landmark, perhaps if it's still there in 30 years. I'd go back again but it's not a priority place to eat with me.",25-Aug-10,John Korolow
31,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"NEGATIVE
   Hurried and unfriendly service. Dined recently, didn't love the service and the food was ""good"" but not great, especially compared to Gramercy Tavern, one of my favorites where the service is always amazing.",13-Apr-10,Neil.schaefer
33,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Wonderful menu and perfectly presented. A great place to meet friends or business colleges. Just good food.",9-Dec-09,Foodimentary
34,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,Fabulous!!!. A trip to NYC for foodies would not be complete without dinning at the Union Sq Cf!!! Lamb Chops are the best I have ever TASTED!!! Other entrees were equally delicious..Skip the Tuna Sandwich...it was rather bland---but the house made chips helped to make up for the bad sandwich...,6-Dec-09,Charlette
35,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"NEGATIVE
   So so SO STALE and the bartender is the rudest I've ever met.

Go to 11 Mad if you want to see what these folks are still capable of.",30-Sep-09,Seanin
36,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Love Hate Relationship. We have been to The Union Square Cafe on several occasions and have enjoyed great meals, commendable service and memorable experiences, however on one occasion we arrived on time only to be put off waiting for our table and when we were finally seated it was near the end of the days service. Consequently the menu was very limited and the service was not up to our expected standard. The servers wanted to go home. Need we say more.",2-Aug-09,Ron De Long
37,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Perfect meal for us.. Waitstaff is so anticipatory, if they offer you a casket, say your hail mary's, cuz it's the big one. Tiny space and it's crowded unless the people are tiny too. I'm not tiny, so it was a case where we got to know our dining neighbors. The food was great. They gave us samples when we couldn't make up our mind. They gave us four desserts when we only asked for two. They aim to please.",24-Jul-09,JL
38,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"We had reservations at the Union Square café for that Sunday night, but our day at the Fancy Foods show had been both exhilarating and draining. Having come down with a case of the chills, Paul couldn?t make it to dinner. So it was up to Joseph, Little Pa ...
Read full post on cynicalcook.com",12-Jul-09,Cynical Cook
39,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   A Great Way to Impress a Date. Very little can be said more that this institution is pure heaven with an incredibly talanted staff of incredible cooks and unbelievely hospitable, friendly, and attentive staff. Reservations are sometimes hard to come by, but there is also great bar space. Also enjoy the interior design and the warm decor.",29-Jan-09,Alan Henry
40,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Consistently good. A very pleasant room with high ceilings and big windows -- A good place on a cold day , it's great to sit in the front or on the bar and have their black bean soup (they pour a shot of sherry in it to really warm you up!) or their extremely satisfying burger. Good wine list. Excellent service like all of Danny Meyer's places - impeccable.",10-Nov-08,Maria
41,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   Delicious but pricey. Need I say more :)",28-Aug-08,Adam Broitman
42,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"The House that Hospitality built... hehe. HB and I had recently discovered we both wanted to try Union Square Cafe, and she had the foresight to make reservations for a night we were both free. Away we go... The decor as you step in immediately explains t ...
Read full post on feistyfoodie.blogspot.com",27-Aug-08,Feisty Foodie
43,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Let me start by saying that I think it is possible for one to eat at too many good restaurants in a small span of time. When you go on a trip you've got to create a diverse mix of dining levels into your trip. If you eat at top notch restaurants every eve ...
Read full post on dineomite.blogspot.com",27-Jul-08,Dine O Mite
44,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Had an amazing experience here, just wanted to talk about the people who attended to our table which enhanced our time here. Enjoyed the cocktail cart in which the bartender whipped us up 5 different versions of the Manhattan cocktail while conversing with us about our time in New York. The sommelier assisted us in picking out a couple of wines to go with our food as well as keeping the balance reasonable. One of the waitresses was equally as charismatic while preparing our one of our dishes, malt - egg cream with vanilla and seltzer. It was just an enjoyable evening with thoughtfully made food and the staff that gave us a warm welcome. I took home the gift of breakfast, definitely made me miss New York when I ate it.",3 months ago,Mustard
46,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  What can I say. Second time to Eleven. Amazing dego. Fantastic company. Service and food the best in the world. The only downside was the head spin from the extremely generous matched wines, beer and sake that accompanied the experience. If you ever get the chance - do it.",5 months ago,Dom Rowe
47,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  I attended a security vendor event at this restaurant and the food was amazing. For appetizer, I had the scallop, for entree beef and dessert coconut honey ice cream. I noticed the private room that we were in is very detailed and extremely clean and very comfortable. If you're a tourist, it a must that you have dinner here but make sure you have a fat wallet.",5 months ago,Shanna Hanvey
48,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Excellent culinary must-go institution in NYC.

I've been visiting this restaurant since the early 2000s and I must say that it never fails, whether its a 20 dollar New York restaurant week deals, a quick lunch or a lavish dinner celebration or Corporate group events, I always love this place for its outstanding quality.",6 months ago,Hanafi Anwar
49,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  I recently went to Eleven Madison Park sometime last month. The service was far by exceptional and I was greeted as soon as I walked in the door. The service attentive was very friendly and his great attitude put me in a great mood to eat at this restaurant and try out what it has to offer. I couldn't wait to order, I was so hungry and excited by this time. After much debate, I finally decided on getting the Champagne, Chartogne-Taillet, Merfy, and it was not bad at all. I never tasted anything like this ever in my whole lifetime. Not only were the people nice and friendly, and the food was just so delicious, the decoration gave the whole restaurant a nice, warm vibe and it felt like everyone was in a great mood that night.",7 months ago,Robersbeekigiogg
50,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Beyond excited to return and experience the updated menu and concept, our party actually extended the trip one more night to fit this restaurant in.  Will travel for food. Clearly. I love my tribe! Welcomed by sommelier Jane Lopes (of the Uncorked reality series following six aspiring master sommeliers as they prepare for the Court of Masters Sommelier exam), dinner started on a fun note. If you haven?t watched the series, get to it! Fan-girl moment aside, Jane happily put up with all of our questions and decanted our wine. Two enthusiastic thumbs up for our choice too! ...
Read full post on thewhetpalette.com",9 months ago,The Whet Palette
51,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Eleven Madison Park is the best place for dinner. I had a great dinner experience here. I will recommend  Eleven Madison Park to my all friends.",10 months ago,Wicker Paradise
52,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Very busy during lunch hour, but absolutely worth waiting in the line. Plenty of stands offering classic pastrami sandwich which is fair enough for a couple. In case you are really starving, order the whole portion. We skipped fries on side, as well as the melted cheese - that would be to heavy for an early afternoon snack.",11 months ago,Rebe Hair
53,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  It was my first time though few days back. Been so pleasurable moment here. The service and the food was just out of this world. My son always craves for your food. Thank you all!",11 months ago,Sthejoe
54,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Situated parkside at 11 Madison Avenue, the much lauded venue with the self explanatory name is nothing if not a New York institution. The pride and joy of Daniel Humm?s ?Make It Nice? group, Eleven Madison Park (or EMP for short) is the three-star older brother to one-starred little sister The NoMad, but stars aside ? both are must visits when in NYC. ...
Read full post on tablenumber7.com",11 months ago,Zoe Bowker
55,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Brilliant as ever. Excellent food. Forget the money this place in my opinion is worth every penny. Chef Daniel Humm at his best. This might be the second best restaurant in NY.",11 months ago,Meray Harb Hadchiti
56,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Not a great deal to say that hasn't been said from the other reviews. It's simple to see why it was so high on Pellegrinos list this year . Food was excellent, service outstanding and such a memorable parting present of homemade granola.The caviar eggs Benedict were the highlight! Can't wait to come back another time",11 months ago,Agam Berry
57,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  No wonder EMP is constantly mentioned as one of the best restaurants in the world. Their food is creative but the type you want to eat again and again and the service is the best you can ever dream of. Their version of eggs Benedict (nothing like the original) is to die for. Not a cheap meal but... ...
Read full post on foodexpectations.com",7-Oct-16,Foodexpectations
58,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  I recommend this place to everyone. It's a high class restaurant. Good menu & Excellent service. Really nice restaurant. Food is amazing, good atmosphere, and staff are very nice and helpful.",30-Aug-16,Momoparra
59,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Eleven Madison Park was recently voted the third best restaurant in the world. Wanting to treat myself for my birthday, I (Mirko), was fortunate enough to get a weekend lunch reservation to try out their tasting menu. I opted for the tasting menu minus the matching wine pairing. This review will outline the different dishes that I had, but given the number of dishes, I will not go into great detail on each one. ...
Read full post on onthechoppingboard.com",16-Aug-16,On The Chopping Board
60,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  What an incredible experience! The creativity and imagination gone into the dishes are simply exceptional. I was blown away that these chefs actually come up with such innovations. Unbelievable experience,service and food.",15-Aug-16,Yavische
62,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  this place is outstanding ... the food, the service, the cocktails ... everything is excellent.

We went for our honeymoon and the staff went out of their way to make sure the evening was memorable",30-May-16,LAD
63,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  A return visit to Eleven Madison Park was on the must do list as soon as the flights to NY were booked! When we first visited in 2012, we were blown away by both the amazing food and the theatre surrounding the presentation of each course. No magic tricks this time round, but the food was exceptional.

Whilst EMP offers a degustation menu only, there are some choices too make. Options for the salad, fish course, main and dessert meant between the two of us we got quite the selection! 10 courses latter, we were so happy that we decided to make a return visit!",28-Apr-16,Where Will We Eat
64,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  I had the pleasure of enjoying lunch at Eleven Madison Park last September and can honestly say it was the most incredible, mind blowing meal I?ve ever had. 

Everything was perfect: the food, the presentation, the service. 

Science, art, gastronomy, love - evident on every plate.

Hubs is a fussy eater, however his affliction actually turned out to be highly advantageous for our EMP experience. 
Caviar, fish and foie gras courses were replaced with alternative dishes, which meant I got to sample several additional plates, which [of course] were all amazing. In fact, hubs? off piste eggs benedict with truffles trumped my standard eggs benedict with caviar!

This was a wonderful way to finish our NY trip. I cannot recommend this place highly enough. 

I hope to visit NY again and Eleven Madison Park will definitely be on the itinerary.",9-Apr-16,MT
66,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Google the death of fine dining and you?ll see a plethora of articles telling us it?s all over. The most recent funeral oration is that given by Jay Rayner, in the Guardian, where he refers  to a survey which states that 70% of diners have turned against fine dining, linking to a headline in The Times, which declares that  ?Fussy French dining loses out to relaxed rioja and tapas?. ...
Read full post on thefoodjudge.com",12-Jan-16,The Food Judge
67,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Dining at Eleven Madison Park is for sure one of the best culinary experience I had and trust me: I had many. No wonder how this place got some many accolades, from 3 Michelin stars since 2012, to James Beard Awards to name a few: the service was impeccable and the food was not only creative, but also fantastically presented and delicious. Know that they only offer a tasting menu and there is no a la carte, so your meal with take few hours for the pleasure of your eyes, palate and stomach. We even got the chance to meet with Executive Chef and owner Daniel Humm and chatted a bit about the menu that will change in couple of weeks, being a smaller tasting, but still showcasing local ingredients. ...
Read full post on ijustwanttoeat.com",10-Jan-16,I Just Want To Eat
69,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  A tasting menu with 14-15 dishes. There were a lot of seafood dishes as appetizers which disturbed a little afterwards. The desserts were really tasty and unusual. I adored the Venison (deer meat).",8-Dec-15,Emine Yalcin
70,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Absolutly the best and most unique/unusual dinner I have ever had. Concept is a 14 course fixed menu. So great small and amazing courses. Outstanding service. Loved the caviar course pictured and the smoked fish - my description would not do the flavors or presentation justice. Last course was a chocolate tasting/game/quiz. Long evening but totally worth it.",18-Nov-15,Mar Kemper
71,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Three years ago at the James Beard Foundation Silver Anniversary Gala, I had the pleasure of sitting and chatting with Daniel Humm ? one of the sweetest and most unpretentious chefs I?ve ever met! I found that my experience at his Eleven Madison Park restaurant fit his personality. His fixed-price meal is an adventure, from the plain white cardboard bakery box tied with blue and white string greeting you when you sit down, to the chocolate milk-matching game you play just before departing with a bag of housemade granola. Pure experiential. ...
Read full post on biteofthebest.com",17-Nov-15,Bonnie Tandy Leblang - BITE OF THE BEST
72,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Three Michelin Stars. The Top #4 Restaurant in the World ? #1 in North America. One of the very few restaurants with New York Times? maximum possible Four Stars rating. This was the meal I was looking forward to the most in this trip. Probably the hardest reservation to secure on this trip, I had high hopes for this visit. ...
Read full post on finestdish.com",7-Aug-15,FinestDish.com
73,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  Wait. How can one begin to review the 5th best restaurant in the world? A restaurant with not one, not two, but three Michelin stars. My expectations didn?t exist. Zilch. All I ever wanted was to enter New York City?s Eleven Madison Park, dash past the host stand into the bar, and maybe grab a couple of bites with a few drinks. Surprisingly, our reality in the end was the best restaurant experience of my entire life. I can?t imagine being any happier than those few hours sitting at? the bar. ...
Read full post on almostveggiehouston.com",13-Jul-15,Almost Veggies
74,"11 Madison Avenue, New York, NY 10010",NY 10010,Eleven Madison Park,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,"RATED
  We ended up getting seated in the bar. However, bear in mind that our total bill was >$600. Thus, you should expect solid service. However, the service was pathetic and the food, from the a la carte menu, was good but not memorable. For that price the food should have been special. Perhaps the worst part of the experience was the sense that we were ""fortunate to be in their restaurant"". I hate nonsense like that. There are many restaurants in NYC where, for that money, you can get a memorable experience. This is not one of those. Disappointed as I had very high expectations.",15-Jun-15,Brian
