review,rest_name,review_date_time,user_name
,Union Square Cafe,10-Jan-14,DGrubs
,Union Square Cafe,17-Aug-13,Bonnie Tandy Leblang - BITE OF THE BEST
,Union Square Cafe,7-Aug-13,LK
"POSITIVE
   This is great little place with very good food. I had a soft shell crab with Asian slaw & it was delicious. Serving size was generous, I had 2 full crabs on my plate. The service was excellent. They knew their stuff & were more than happy to provide tastings. For the quality of the food, worth every penny.",Union Square Cafe,2-Jun-13,Moose
"POSITIVE
   Meal of the year.. From apps to dessert everything was phenominal, wait staff very well educated in the ingredients as well as purveyors. 5 stars all the way.",Union Square Cafe,26-Aug-12,AngryCitrus
"Why Come Here? Dinner with the parents, suitable for foodie and non-foodie alike ...
Read full post on dishelinguide.com",Union Square Cafe,14-Jun-12,The Dishelin Guide
"Union Square Cafe is elegant, but completely comfortable. The main dining rooms feels like it belongs in someone’s home. Service was equally warm and friendly. The dishes are creative but not fussy. I was wowed by the thought that went into some of the dishes, resulting in magnificent combinations of flavors and textures (the same reaction I get to many of the dishes at one of my favorite Boston area restaurants, Oleana). After my first visit, it’s easy to see why Union Square Cafe has been a neighborhood mainstay for over 25 years. ...
Read full post on freefoodboston.wordpress.com",Union Square Cafe,18-Apr-12,FreeFoodBoston
"The trout was standard (although it did not taste as fresh as anything I’ve ever eaten at Maialino) and the tuna burger was so terrible that I told Ken to not even bother finishing it. The burger was tuna meat that was chopped up, put back together, and grilled. The fish didn’t taste fresh at all and the side of coleslaw was absolutely…THE WORST. We also weren’t really impressed with their service (so slow it was like pulling teeth to get service). Not expected at all for a Danny Meyer restaurant and a very disappointing experience overall. It was nothing like what I had experienced during my previous visits and I hope it was a one time error on their part. ...
Read full post on gracenotesnyc.com",Union Square Cafe,28-Mar-12,Grace Yang
"Opened in 1985, Danny Meyer's first restaurant retains high expectations in a city that has seen him expand his empire to include venues such as Gramercy Tavern, Maialino, The Modern, and the newly opened North End Grill. Earning Zagat's #1 ranking as New York's Most Popular Restaurant for eight years, there is no doubt that Union Square Cafe has garnered a special place in this City's culinary world. ...
Read full post on eatthecityny.com",Union Square Cafe,22-Feb-12,Eat The City
"I don't often order chicken, but when I know it is going to be really well prepared, sometimes it really hits the spot. Also, today's menu with the root vegetables and flavored mashed potatoes just really hooked me. I was NOT disappointed. I was really good and saved half of it to take home to enjoy for lunch the next day, but full disclosure? I ate it as soon as I got home- it was just that good. ...
Read full post on newbiefoodies.com",Union Square Cafe,22-Jan-12,Newbie Foodies
,Union Square Cafe,16-Oct-11,Chop Chop
"POSITIVE
   Lovely lunch. Lunched here on holiday from Australia & had a brilliant time. Terrific food, excellent portion sizes & great value. Service was very friendly & efficient. Will be back!",Union Square Cafe,19-Sep-11,Scarlett
"...Grilled trout with green bean salad, crispy salt-baked potatoes, and seasoning pepper vinaigrette. The trout had the slightly charred taste that I love, and the vinaigrette was a wonderful complement to the fish, as it brought out an additional light citrus flavor that was simple but refreshing. ...
Read full post on laurenlovestoeat.com",Union Square Cafe,27-Jul-11,Lauren
"Well priced, well fed and EXTREMELY well served, we left feeling as if we had REALLY had an experience, with people who loved to cook and eat as much as we do. ...
Read full post on fritosandfoiegras.com",Union Square Cafe,20-Apr-11,Fritosandfoiegras
"Great food, atomsphere, and service. Recommended.",Union Square Cafe,8-Apr-11,Jack Morris
"POSITIVE
   One, well, 2 1/2 words: Good and consistent. Great meeting place, centrally located, of many restaurants of this ilk that have come and gone and remain, consistently good is quite an accomplishment. Across from park and ""farmer's market"" in good weather. Lunch, dinner, or other - Recommend for pre Knicks game dinner and quick cab ride!!",Union Square Cafe,25-Feb-11,Jtc9826
"In today's economy fraught with economic uncertainties, most new restaurants are lucky to survive their first year, let alone two. Then again, Union Square Café hardly qualifies as an ordinary restaurant. Twenty five years ago, Danny Meyer opened this res ...
Read full post on lawandfood.blogspot.com",Union Square Cafe,21-Oct-10,ChiefHDB
"Union Square Café is a NYC institution, a place where locals and tourists alike come for a delicious meal and to be treated the way Danny Meyer intended you to be treated when he opened the doors in 1985. ...
Read full post on carnivoreandvegetarian.com",Union Square Cafe,14-Oct-10,Evan H
,Union Square Cafe,14-Oct-10,Evan H
"My father is turning the ripe age of 55 today so for his birthday I offered to take him to NYC for the day. He hasn't been to NYC since before I was born so I felt like it was my duty to show him the best the city had to offer. Alright, that's not entirel ...
Read full post on microcosmk.blogspot.com",Union Square Cafe,11-Oct-10,Mr. Micro
"POSITIVE
   Had a business lunch here recently. Very pretty interior. Not a loud or noisy crowd. Service staff very attentive if a bit too intrusive - I don't need to be asked four times in 45 minutes if everything is okay. Food was good but a bit pricey for lunch. I don't feel the place has been around long enough to be called a classic landmark, perhaps if it's still there in 30 years. I'd go back again but it's not a priority place to eat with me.",Union Square Cafe,25-Aug-10,John Korolow
"NEGATIVE
   Hurried and unfriendly service. Dined recently, didn't love the service and the food was ""good"" but not great, especially compared to Gramercy Tavern, one of my favorites where the service is always amazing.",Union Square Cafe,13-Apr-10,Neil.schaefer
,Union Square Cafe,22-Mar-10,Gio
"POSITIVE
   Wonderful menu and perfectly presented. A great place to meet friends or business colleges. Just good food.",Union Square Cafe,9-Dec-09,Foodimentary
Fabulous!!!. A trip to NYC for foodies would not be complete without dinning at the Union Sq Cf!!! Lamb Chops are the best I have ever TASTED!!! Other entrees were equally delicious..Skip the Tuna Sandwich...it was rather bland---but the house made chips helped to make up for the bad sandwich...,Union Square Cafe,6-Dec-09,Charlette
"NEGATIVE
   So so SO STALE and the bartender is the rudest I've ever met.

Go to 11 Mad if you want to see what these folks are still capable of.",Union Square Cafe,30-Sep-09,Seanin
"POSITIVE
   Love Hate Relationship. We have been to The Union Square Cafe on several occasions and have enjoyed great meals, commendable service and memorable experiences, however on one occasion we arrived on time only to be put off waiting for our table and when we were finally seated it was near the end of the days service. Consequently the menu was very limited and the service was not up to our expected standard. The servers wanted to go home. Need we say more.",Union Square Cafe,2-Aug-09,Ron De Long
"POSITIVE
   Perfect meal for us.. Waitstaff is so anticipatory, if they offer you a casket, say your hail mary's, cuz it's the big one. Tiny space and it's crowded unless the people are tiny too. I'm not tiny, so it was a case where we got to know our dining neighbors. The food was great. They gave us samples when we couldn't make up our mind. They gave us four desserts when we only asked for two. They aim to please.",Union Square Cafe,24-Jul-09,JL
"We had reservations at the Union Square café for that Sunday night, but our day at the Fancy Foods show had been both exhilarating and draining. Having come down with a case of the chills, Paul couldn’t make it to dinner. So it was up to Joseph, Little Pa ...
Read full post on cynicalcook.com",Union Square Cafe,12-Jul-09,Cynical Cook
"POSITIVE
   A Great Way to Impress a Date. Very little can be said more that this institution is pure heaven with an incredibly talanted staff of incredible cooks and unbelievely hospitable, friendly, and attentive staff. Reservations are sometimes hard to come by, but there is also great bar space. Also enjoy the interior design and the warm decor.",Union Square Cafe,29-Jan-09,Alan Henry
"POSITIVE
   Consistently good. A very pleasant room with high ceilings and big windows -- A good place on a cold day , it's great to sit in the front or on the bar and have their black bean soup (they pour a shot of sherry in it to really warm you up!) or their extremely satisfying burger. Good wine list. Excellent service like all of Danny Meyer's places - impeccable.",Union Square Cafe,10-Nov-08,Maria
"POSITIVE
   Delicious but pricey. Need I say more :)",Union Square Cafe,28-Aug-08,Adam Broitman
"The House that Hospitality built... hehe. HB and I had recently discovered we both wanted to try Union Square Cafe, and she had the foresight to make reservations for a night we were both free. Away we go... The decor as you step in immediately explains t ...
Read full post on feistyfoodie.blogspot.com",Union Square Cafe,27-Aug-08,Feisty Foodie
"Let me start by saying that I think it is possible for one to eat at too many good restaurants in a small span of time. When you go on a trip you've got to create a diverse mix of dining levels into your trip. If you eat at top notch restaurants every eve ...
Read full post on dineomite.blogspot.com",Union Square Cafe,27-Jul-08,Dine O Mite
"RATED
  Had an amazing experience here, just wanted to talk about the people who attended to our table which enhanced our time here. Enjoyed the cocktail cart in which the bartender whipped us up 5 different versions of the Manhattan cocktail while conversing with us about our time in New York. The sommelier assisted us in picking out a couple of wines to go with our food as well as keeping the balance reasonable. One of the waitresses was equally as charismatic while preparing our one of our dishes, malt - egg cream with vanilla and seltzer. It was just an enjoyable evening with thoughtfully made food and the staff that gave us a warm welcome. I took home the gift of breakfast, definitely made me miss New York when I ate it.",Eleven Madison Park,3 months ago,Mustard
,Eleven Madison Park,4 months ago,Gastro World
"RATED
  What can I say. Second time to Eleven. Amazing dego. Fantastic company. Service and food the best in the world. The only downside was the head spin from the extremely generous matched wines, beer and sake that accompanied the experience. If you ever get the chance - do it.",Eleven Madison Park,5 months ago,Dom Rowe
"RATED
  I attended a security vendor event at this restaurant and the food was amazing. For appetizer, I had the scallop, for entree beef and dessert coconut honey ice cream. I noticed the private room that we were in is very detailed and extremely clean and very comfortable. If you're a tourist, it a must that you have dinner here but make sure you have a fat wallet.",Eleven Madison Park,5 months ago,Shanna Hanvey
"RATED
  Excellent culinary must-go institution in NYC.

I've been visiting this restaurant since the early 2000s and I must say that it never fails, whether its a 20 dollar New York restaurant week deals, a quick lunch or a lavish dinner celebration or Corporate group events, I always love this place for its outstanding quality.",Eleven Madison Park,6 months ago,Hanafi Anwar
"RATED
  I recently went to Eleven Madison Park sometime last month. The service was far by exceptional and I was greeted as soon as I walked in the door. The service attentive was very friendly and his great attitude put me in a great mood to eat at this restaurant and try out what it has to offer. I couldn't wait to order, I was so hungry and excited by this time. After much debate, I finally decided on getting the Champagne, Chartogne-Taillet, Merfy, and it was not bad at all. I never tasted anything like this ever in my whole lifetime. Not only were the people nice and friendly, and the food was just so delicious, the decoration gave the whole restaurant a nice, warm vibe and it felt like everyone was in a great mood that night.",Eleven Madison Park,7 months ago,Robersbeekigiogg
"RATED
  Beyond excited to return and experience the updated menu and concept, our party actually extended the trip one more night to fit this restaurant in.  Will travel for food. Clearly. I love my tribe! Welcomed by sommelier Jane Lopes (of the Uncorked reality series following six aspiring master sommeliers as they prepare for the Court of Masters Sommelier exam), dinner started on a fun note. If you haven’t watched the series, get to it! Fan-girl moment aside, Jane happily put up with all of our questions and decanted our wine. Two enthusiastic thumbs up for our choice too! ...
Read full post on thewhetpalette.com",Eleven Madison Park,9 months ago,The Whet Palette
"RATED
  Eleven Madison Park is the best place for dinner. I had a great dinner experience here. I will recommend  Eleven Madison Park to my all friends.",Eleven Madison Park,10 months ago,Wicker Paradise
"RATED
  Very busy during lunch hour, but absolutely worth waiting in the line. Plenty of stands offering classic pastrami sandwich which is fair enough for a couple. In case you are really starving, order the whole portion. We skipped fries on side, as well as the melted cheese - that would be to heavy for an early afternoon snack.",Eleven Madison Park,11 months ago,Rebe Hair
"RATED
  It was my first time though few days back. Been so pleasurable moment here. The service and the food was just out of this world. My son always craves for your food. Thank you all!",Eleven Madison Park,11 months ago,Sthejoe
"RATED
  Situated parkside at 11 Madison Avenue, the much lauded venue with the self explanatory name is nothing if not a New York institution. The pride and joy of Daniel Humm’s ‘Make It Nice’ group, Eleven Madison Park (or EMP for short) is the three-star older brother to one-starred little sister The NoMad, but stars aside – both are must visits when in NYC. ...
Read full post on tablenumber7.com",Eleven Madison Park,11 months ago,Zoe Bowker
"RATED
  Brilliant as ever. Excellent food. Forget the money this place in my opinion is worth every penny. Chef Daniel Humm at his best. This might be the second best restaurant in NY.",Eleven Madison Park,11 months ago,Meray Harb Hadchiti
"RATED
  Not a great deal to say that hasn't been said from the other reviews. It's simple to see why it was so high on Pellegrinos list this year . Food was excellent, service outstanding and such a memorable parting present of homemade granola.The caviar eggs Benedict were the highlight! Can't wait to come back another time",Eleven Madison Park,11 months ago,Agam Berry
"RATED
  No wonder EMP is constantly mentioned as one of the best restaurants in the world. Their food is creative but the type you want to eat again and again and the service is the best you can ever dream of. Their version of eggs Benedict (nothing like the original) is to die for. Not a cheap meal but... ...
Read full post on foodexpectations.com",Eleven Madison Park,7-Oct-16,Foodexpectations
"RATED
  I recommend this place to everyone. It's a high class restaurant. Good menu & Excellent service. Really nice restaurant. Food is amazing, good atmosphere, and staff are very nice and helpful.",Eleven Madison Park,30-Aug-16,Momoparra
"RATED
  Eleven Madison Park was recently voted the third best restaurant in the world. Wanting to treat myself for my birthday, I (Mirko), was fortunate enough to get a weekend lunch reservation to try out their tasting menu. I opted for the tasting menu minus the matching wine pairing. This review will outline the different dishes that I had, but given the number of dishes, I will not go into great detail on each one. ...
Read full post on onthechoppingboard.com",Eleven Madison Park,16-Aug-16,On The Chopping Board
"RATED
  What an incredible experience! The creativity and imagination gone into the dishes are simply exceptional. I was blown away that these chefs actually come up with such innovations. Unbelievable experience,service and food.",Eleven Madison Park,15-Aug-16,Yavische
,Eleven Madison Park,10-Jun-16,Jay DuBoulay
"RATED
  this place is outstanding ... the food, the service, the cocktails ... everything is excellent.

We went for our honeymoon and the staff went out of their way to make sure the evening was memorable",Eleven Madison Park,30-May-16,LAD
"RATED
  A return visit to Eleven Madison Park was on the must do list as soon as the flights to NY were booked! When we first visited in 2012, we were blown away by both the amazing food and the theatre surrounding the presentation of each course. No magic tricks this time round, but the food was exceptional.

Whilst EMP offers a degustation menu only, there are some choices too make. Options for the salad, fish course, main and dessert meant between the two of us we got quite the selection! 10 courses latter, we were so happy that we decided to make a return visit!",Eleven Madison Park,28-Apr-16,Where Will We Eat
"RATED
  I had the pleasure of enjoying lunch at Eleven Madison Park last September and can honestly say it was the most incredible, mind blowing meal I’ve ever had. 

Everything was perfect: the food, the presentation, the service. 

Science, art, gastronomy, love - evident on every plate.

Hubs is a fussy eater, however his affliction actually turned out to be highly advantageous for our EMP experience. 
Caviar, fish and foie gras courses were replaced with alternative dishes, which meant I got to sample several additional plates, which [of course] were all amazing. In fact, hubs’ off piste eggs benedict with truffles trumped my standard eggs benedict with caviar!

This was a wonderful way to finish our NY trip. I cannot recommend this place highly enough. 

I hope to visit NY again and Eleven Madison Park will definitely be on the itinerary.",Eleven Madison Park,9-Apr-16,MT
,Eleven Madison Park,19-Jan-16,C
"RATED
  Google the death of fine dining and you’ll see a plethora of articles telling us it’s all over. The most recent funeral oration is that given by Jay Rayner, in the Guardian, where he refers  to a survey which states that 70% of diners have turned against fine dining, linking to a headline in The Times, which declares that  “Fussy French dining loses out to relaxed rioja and tapas”. ...
Read full post on thefoodjudge.com",Eleven Madison Park,12-Jan-16,The Food Judge
"RATED
  Dining at Eleven Madison Park is for sure one of the best culinary experience I had and trust me: I had many. No wonder how this place got some many accolades, from 3 Michelin stars since 2012, to James Beard Awards to name a few: the service was impeccable and the food was not only creative, but also fantastically presented and delicious. Know that they only offer a tasting menu and there is no a la carte, so your meal with take few hours for the pleasure of your eyes, palate and stomach. We even got the chance to meet with Executive Chef and owner Daniel Humm and chatted a bit about the menu that will change in couple of weeks, being a smaller tasting, but still showcasing local ingredients. ...
Read full post on ijustwanttoeat.com",Eleven Madison Park,10-Jan-16,I Just Want To Eat
,Eleven Madison Park,7-Jan-16,The Restaurant Fairy
"RATED
  A tasting menu with 14-15 dishes. There were a lot of seafood dishes as appetizers which disturbed a little afterwards. The desserts were really tasty and unusual. I adored the Venison (deer meat).",Eleven Madison Park,8-Dec-15,Emine Yalcin
"RATED
  Absolutly the best and most unique/unusual dinner I have ever had. Concept is a 14 course fixed menu. So great small and amazing courses. Outstanding service. Loved the caviar course pictured and the smoked fish - my description would not do the flavors or presentation justice. Last course was a chocolate tasting/game/quiz. Long evening but totally worth it.",Eleven Madison Park,18-Nov-15,Mar Kemper
"RATED
  Three years ago at the James Beard Foundation Silver Anniversary Gala, I had the pleasure of sitting and chatting with Daniel Humm — one of the sweetest and most unpretentious chefs I’ve ever met! I found that my experience at his Eleven Madison Park restaurant fit his personality. His fixed-price meal is an adventure, from the plain white cardboard bakery box tied with blue and white string greeting you when you sit down, to the chocolate milk-matching game you play just before departing with a bag of housemade granola. Pure experiential. ...
Read full post on biteofthebest.com",Eleven Madison Park,17-Nov-15,Bonnie Tandy Leblang - BITE OF THE BEST
"RATED
  Three Michelin Stars. The Top #4 Restaurant in the World – #1 in North America. One of the very few restaurants with New York Times’ maximum possible Four Stars rating. This was the meal I was looking forward to the most in this trip. Probably the hardest reservation to secure on this trip, I had high hopes for this visit. ...
Read full post on finestdish.com",Eleven Madison Park,7-Aug-15,FinestDish.com
"RATED
  Wait. How can one begin to review the 5th best restaurant in the world? A restaurant with not one, not two, but three Michelin stars. My expectations didn’t exist. Zilch. All I ever wanted was to enter New York City’s Eleven Madison Park, dash past the host stand into the bar, and maybe grab a couple of bites with a few drinks. Surprisingly, our reality in the end was the best restaurant experience of my entire life. I can’t imagine being any happier than those few hours sitting at… the bar. ...
Read full post on almostveggiehouston.com",Eleven Madison Park,13-Jul-15,Almost Veggies
"RATED
  We ended up getting seated in the bar. However, bear in mind that our total bill was >$600. Thus, you should expect solid service. However, the service was pathetic and the food, from the a la carte menu, was good but not memorable. For that price the food should have been special. Perhaps the worst part of the experience was the sense that we were ""fortunate to be in their restaurant"". I hate nonsense like that. There are many restaurants in NYC where, for that money, you can get a memorable experience. This is not one of those. Disappointed as I had very high expectations.",Eleven Madison Park,15-Jun-15,Brian
"POSITIVE
   Absolutely incredible lunch experience. High touch from the get go with an epic ending - apple brandy. It was a real treat getting a tour of the kitchen during go time. Fabulous. Just awesome.",Eleven Madison Park,30-May-15,Greg
"RATED
  The interiors are gorgeous, with an art deco design and large windows that provide a great view.
The vegetarian tasting menu was full of innovative dishes like a grain free celery root risotto and turnips cooked four ways in turnip broth. They also had twists on classic New York dishes like the Waldorf Salad and a vegetarian take on Oysters Rockefeller, which was quite interesting. The review on my blog has more details about the meal, so do check it out. 

It was a long, but divine 3 and a half hour experience, not to mention the food coma that came afterwards!

veggiebuzz.com",Eleven Madison Park,4-May-15,VeggieBuzz
,Eleven Madison Park,8-Apr-15,J Gnaden
"RATED
  The last night of our trip to the Big Apple was spent at Eleven Madison Park which holds 3 Michelin stars and is rated the 4th best restaurant in the world by San Pellegrino. We arrived early and were led to the bar to enjoy some cocktails as the team briefing with a huge brigade was held on the dining floor. The restaurant is set in an impressive art deco building with a high gold leaf ceiling. A long tasting menu at $225 per head is served for lunch and dinner service alongside a limited menu in the bar area. The meal began with a small envelope containing a card with four choices, coffee, celery, cherry and strawberry. We were asked to pick one each and the choice would feature in some of the dishes during our meal, we chose cherry and strawberry. Our meal consisted of the following dishes: Cheddar – savoury black and white cookie with apple. Oyster – baked potato ice cream and caviar. Melon – sala ...
Read full post on nomface.co.uk",Eleven Madison Park,18-Dec-14,Nomface
"...Eleven Madison Park holds three Michelin stars and a ranking as one of the best restaurants in the world. Eleven Madison Park serves a French degustation menu with a New York twist ($225 a head). The ingredients are sourced from the New York area and surrounding states and provides the diner with an opportunity to experience the flavours and essence of New York. The meal was a journey of discovery which began with the entire table being asked to choose from either venison or duck for the main. We were also mysteriously asked to choose between four flavours – apple, celery, cranberry and maple (but more on this later) by punching out the relevant leaf from the card that had been given us to. ...
Read full post on agirlhastoeat.com",Eleven Madison Park,14-Nov-14,Agirlhastoeat
"07 Friday Nov 2014 I’m going to open this post with a very brave and bold statement. That is that I was recently fortunate enough to have had the best dining experience of my entire life to-date at Eleven Madison Park in New York City. A big call I know and I do encourage you to stay with me as I attempt to succinctly summarise... ...
Read full post on forfoodssake.net",Eleven Madison Park,7-Nov-14,Forfoodssake
,Eleven Madison Park,26-Aug-14,One More Bite Blog
"I made the right decision because I had the BEST dining experience of my life. I died. It’s seriously THAT good. Eleven Madison Park is my kind of fine dining–> the food is phenomenal and is brilliantly showcased through whimsical plates of food art, complimented by exceptional service and a friendly atmosphere throughout our entire meal. Side: this restaurant has THREE Michelin Stars, Forbes Travel Guide Five Stars and the highest American rating for S. Pellegrino’s 50 Greatest Restaurants in the world (#4). You get a 14 course (tasting menu $225) –> All of which, change daily depending on the freshest ingredients available. The first surprise of the meal is when they ask you ...
Read full post on cyneats.com",Eleven Madison Park,18-Aug-14,Cyneats
"When you are on your way to one of the world’s best restaurants a number of things go through your mind. For me, normally whether I can afford it, and will it dish up what I hope for. This time around I had one main measuring stick, Columbus Circle’s Per Se . The walk from our friends place in Chelsea was short but very sweet. ...
Read full post on bleekong.wordpress.com",Eleven Madison Park,28-Jun-14,Ben Lee Kong
,Eleven Madison Park,28-Jun-14,Sydneycool
,Eleven Madison Park,4-Jun-14,Forget_love-id_rather_fall_in_chocolate
,Eleven Madison Park,3-May-14,MiboEbo
,Eleven Madison Park,16-Mar-14,Lee Pitofsky
"I picked this as my choice of fine dining options for NYC based upon it being the only restaurant that provided a different experience - all the rest seem to be variations on typical French fine cuisine. Eleven Madison Park has the exciting menu concept of picking a few ingredients and the restaurant will create a series of dishes. It is to be noted that the tasting menu negates this concept, but nonetheless I'm not disappointed in my choice. ...
Read full post on eatlikeushi.posthaven.com",Eleven Madison Park,3-Mar-14,Eat Like Ushi
,Eleven Madison Park,20-Feb-14,Sugarandsaline
"POSITIVE
   I felt like a king!!. Excellent food! The flavors were a harmonious symphony! By far my favorite restaurant. It felt like there were 4 servers per table!

Will definite go again when in town. Remember to book ahead.",Eleven Madison Park,13-Feb-14,Mario Ferrero
"It's not the kind of place you can visit on a whim because places are so sought after, however it's one of those restaurants that is truly world class. It's refreshing to see the young blood boldly delivering delicious dishes with an element of fun. They don't take themselves too seriously, but their critics sure as hell do. ...
Read full post on dollybakes.co.uk",Eleven Madison Park,3-Feb-14,DollyBakes
"Chef Daniel Humm demonstrates theatrical flair while presenting one of the world’s finest dining experiences at Eleven Madison Park in New York City ...
Read full post on alaingayot.com",Eleven Madison Park,1-Feb-14,Alain Gayot
,Eleven Madison Park,23-Jan-14,Life Of A Travel Czar
"Food lists these days are aplenty and generally cause a right kafuffle; none more so than San Pellegrino’s Top 50 Restaurants. Shouts of corruption, unfairness and a general feeling that Heston Blumenthal should be bopped on the nose for his Dinner smashing right into the Top 10 are voiced from every corner. In a way, I feel t ...
Read full post on mrspetticoat.co.uk",Eleven Madison Park,14-Nov-13,Victoria “Mrs” Petticoat
"Email This BlogThis! Share to Twitter Share to Facebook By: Laurie Wallin Capital Cooking Contributor There’s one surefire thing about NYC – no matter where you turn, there’s amazing food and wine waiting for you around every corner. My husband and I spent some time in the Big Apple over the weekend celebrating our anniversary and were lucky to dine enough at some of the city’s biggest gems – Per Se, Le Bernadin, and Eleven Madison Park. The iconic blue doors of the French Laundry welcomed us to Per Se. We were whisked away to a romantic table for two overlooking the dining room and upon noticing that I’d placed my clutch on the floor, a server came over right away with a stool for my bag. The dining room is the epitome of romantic – quiet, cozy, and a giant stone fireplace anchors the room. The view is absolutely outstanding, overlooking Central Park and the NYC skyline. ...
Read full post on capitalcookingshow.blogspot.com",Eleven Madison Park,11-Nov-13,Capital Cooking With Lauren DeSantis
"RATED
  Normally a story needs to be told from the beginning but on very rare occasions the ending of a good story must come first. And the story of our afternoon at Eleven Madison Park is one of these exceptions. This was the best dining experience of our lives. Ever. No really, ever! Saying it is one thing but writing about it is entirely different. I do hope I am able to convey what an afternoon at Eleven Madison Park is like and why you must put it on your culinary bucket list, in the top five positions. ...
Read full post on afoodstory.com.au",Eleven Madison Park,9-Oct-13,A Food Story
"This was the fanciest place I have ever been to that was not pretentious. It was a lot of fun there and not stuffy at all. They have an awesome rare beer menu with 8-10 Cantillon selections and other rarities that go up to $300 a bottle. ...
Read full post on twofoodiesinlove.wordpress.com",Eleven Madison Park,13-Sep-13,2foodiesinlove
,Eleven Madison Park,31-Aug-13,Brenda Ton Linkous
"Very quickly we began to notice how incredibly well rehearsed the service was in the room. It was like a complex dance. Each course seemed to have a natural and incredibly timed routine: ...
Read full post on abbeyskitchen.com",Eleven Madison Park,18-Aug-13,Abbey Sharp
"The setting of the restaurant at 11 Madison Park is modern and smart, while the service was highly professional. Some meals had a bit of theatre and drama and while the food was prepared to a high standard and quality, in some dishes I didn’t think the ingredients always paired well in terms of flavour. There were some really clever techniques employed such as the numerous ways they utilised tomato, but in the end, it’s all about the taste and it didn’t reach the high levels I was expecting. ...
Read full post on perthfoodreviews.com",Eleven Madison Park,12-Aug-13,Shaun
"It was quite the wonderful experience. I remember being obsessed with three things, 1) Our waiter was freaking awesome. Someone you would just love to grab a drink with and hang out. 2) Said waiter made my favorite part of the entire meal, a vanilla egg cream that is 100% marked in my head as the best egg cream that I have ever had in my entire life so far. Ohmigod it was so amazing. 3) I was so excited about the deck of food cards they gave us in our goodie bag to take home. You’ll see them later ...
Read full post on chasingjamesbeard.com",Eleven Madison Park,2-Aug-13,Chasing James Beard
"There is a certain level of theatre when coming to a three michelin starred restaurant and the next dish certainly provided a level of theatre with the clam bake. A tradition on Long Island, the next dish was a series of clam inspired dishes all centred around a pot of clam chowder. The 'Littleneck Clam' consisted of clambake with whelk, a parker house roll and the chowder. The clam chowder came out in a pot and the waitress added some water to the vessel and a wonderful steam enveloped the table. I particularly loved the clambake with the whelk, which had a lovely flavour and texture.
...
Read full post on foodmeupscotty.com",Eleven Madison Park,24-Jul-13,FoodMeUpScotty
"...I had a great evening, good food, great service, disappointing desserts. Two dishes were similar to two other ones, (two egg custards and two green salads). The expectations were sky high, hence they were not met... ...
Read full post on nycbonvivant.wordpress.com",Eleven Madison Park,17-Jul-13,Bon Viveur
